0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:20 +0900] "GET /std_1st/assets/dist/css/plugins.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:20 +0900] "GET /std_1st/assets/fonts/linearicons/fonts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:20 +0900] "GET /std_1st/assets/fonts/font-awesome/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:20 +0900] "GET /std_1st/assets/fonts/font-awesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:21 +0900] "GET /std_1st/assets/images/fav.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:22 +0900] "GET /std_1st/totalCount HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:22 +0900] "GET /std_1st/cafeListAll?start=1&end=5 HTTP/1.1" 200 4063
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:22 +0900] "GET /std_1st/cafe_img/cafe_img01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:22 +0900] "GET /std_1st/cafe_img/cafe_img02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:22 +0900] "GET /std_1st/cafe_img/cafe_img03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:23 +0900] "GET /std_1st/cafe_img/cafe_img04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:23 +0900] "GET /std_1st/assets/fonts/font-awesome/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:23 +0900] "GET /std_1st/cafe_img/cafe_img05.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:23 +0900] "GET /std_1st/printStar?cafeno=4 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:23 +0900] "GET /std_1st/printStar?cafeno=3 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:23 +0900] "GET /std_1st/printStar?cafeno=2 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:23 +0900] "GET /std_1st/printStar?cafeno=1 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:23 +0900] "GET /std_1st/printStar?cafeno=5 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/cafeListAll?sido=&gugun=&keyword=&start=6&end=10 HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/cafeListAll?sido=&gugun=&keyword=&start=11&end=15 HTTP/1.1" 200 2660
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/cafeListAll?sido=&gugun=&keyword=&start=16&end=20 HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/printStar?cafeno=6 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/printStar?cafeno=7 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/printStar?cafeno=9 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/printStar?cafeno=10 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/printStar?cafeno=8 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/printStar?cafeno=42 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/printStar?cafeno=41 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/printStar?cafeno=43 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/printStar?cafeno=45 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/printStar?cafeno=44 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/cafe_img/cafe_img07.jpg HTTP/1.1" 200 19914
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/cafe_img/cafe_img06.jpg HTTP/1.1" 200 98084
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/cafe_img/cafe_img09.png HTTP/1.1" 200 19441
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/cafe_img/cafe_img45.jpg HTTP/1.1" 200 83661
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/cafe_img/cafe_img08.jpg HTTP/1.1" 200 110809
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/cafe_img/cafe_img10.jpg HTTP/1.1" 200 122222
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/printStar?cafeno=13 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/cafe_img/cafe_img41.jpg HTTP/1.1" 200 252523
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/cafe_img/cafe_img42.jpg HTTP/1.1" 200 191926
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/cafe_img/cafe_img43.jpg HTTP/1.1" 200 149207
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/printStar?cafeno=46 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/printStar?cafeno=14 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/cafe_img/cafe_img44.jpg HTTP/1.1" 200 202435
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/printStar?cafeno=11 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/printStar?cafeno=15 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/cafe_img/cafe_img23.jpg HTTP/1.1" 200 52992
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:25 +0900] "GET /std_1st/cafe_img/cafe_img27.jpg HTTP/1.1" 200 344012
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:26 +0900] "GET /std_1st/cafe_img/cafe_img26.jpg HTTP/1.1" 200 2738458
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:28 +0900] "GET /std_1st/cafeListAll?sido=&gugun=&keyword=&start=21&end=25 HTTP/1.1" 200 2396
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:28 +0900] "GET /std_1st/cafeListAll?sido=&gugun=&keyword=&start=26&end=30 HTTP/1.1" 200 2467
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:28 +0900] "GET /std_1st/printStar?cafeno=12 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:28 +0900] "GET /std_1st/printStar?cafeno=16 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:28 +0900] "GET /std_1st/printStar?cafeno=17 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:29 +0900] "GET /std_1st/printStar?cafeno=18 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:29 +0900] "GET /std_1st/printStar?cafeno=19 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:29 +0900] "GET /std_1st/printStar?cafeno=20 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:29 +0900] "GET /std_1st/printStar?cafeno=22 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:29 +0900] "GET /std_1st/printStar?cafeno=21 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:29 +0900] "GET /std_1st/cafe_img/cafe_img16.jpg HTTP/1.1" 200 62921
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:29 +0900] "GET /std_1st/printStar?cafeno=24 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:29 +0900] "GET /std_1st/printStar?cafeno=23 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:29 +0900] "GET /std_1st/cafe_img/cafe_img18.jpg HTTP/1.1" 200 197484
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:29 +0900] "GET /std_1st/cafe_img/cafe_img17.jpg HTTP/1.1" 200 186752
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:29 +0900] "GET /std_1st/cafe_img/cafe_img19.jpg HTTP/1.1" 200 33293
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:29 +0900] "GET /std_1st/cafe_img/cafe_img22.jpg HTTP/1.1" 200 150167
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:29 +0900] "GET /std_1st/cafe_img/cafe_img24.jpg HTTP/1.1" 200 175957
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:29 +0900] "GET /std_1st/cafe_img/cafe_img20.jpg HTTP/1.1" 200 197387
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:29 +0900] "GET /std_1st/cafe_img/cafe_img21.jpg HTTP/1.1" 200 438360
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/cafeListAll?sido=&gugun=&keyword=&start=31&end=35 HTTP/1.1" 200 2489
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/cafeListAll?sido=&gugun=&keyword=&start=36&end=40 HTTP/1.1" 200 2467
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/cafeListAll?sido=&gugun=&keyword=&start=41&end=45 HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/printStar?cafeno=25 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/printStar?cafeno=27 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/printStar?cafeno=26 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/printStar?cafeno=28 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/printStar?cafeno=29 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/printStar?cafeno=30 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/printStar?cafeno=31 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/printStar?cafeno=32 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/printStar?cafeno=33 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/printStar?cafeno=35 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/printStar?cafeno=34 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/printStar?cafeno=36 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/printStar?cafeno=38 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/printStar?cafeno=37 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/printStar?cafeno=39 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/cafe_img/cafe_img28.jpg HTTP/1.1" 200 78790
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/cafe_img/cafe_img25.jpg HTTP/1.1" 200 96474
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/cafe_img/cafe_img29.jpg HTTP/1.1" 200 127999
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/cafe_img/cafe_img30.jpg HTTP/1.1" 200 110726
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/cafe_img/cafe_img35.jpg HTTP/1.1" 200 77972
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/cafe_img/cafe_img31.jpg HTTP/1.1" 200 181525
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/cafe_img/cafe_img32.jpg HTTP/1.1" 200 275337
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/cafe_img/cafe_img34.jpg HTTP/1.1" 200 188770
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/cafe_img/cafe_img33.jpg HTTP/1.1" 200 181358
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/cafe_img/cafe_img38.jpg HTTP/1.1" 200 51451
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/cafe_img/cafe_img36.jpg HTTP/1.1" 200 114977
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/cafe_img/cafe_img39.jpg HTTP/1.1" 200 151406
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:33 +0900] "GET /std_1st/cafe_img/cafe_img37.jpg HTTP/1.1" 200 178060
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:56 +0900] "GET /std_1st/sellSort?sido=&gugun=&keyword=&start=6&end=10 HTTP/1.1" 200 2846
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:56 +0900] "GET /std_1st/sellSort?sido=&gugun=&keyword=&start=1&end=5 HTTP/1.1" 200 3989
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:56 +0900] "GET /std_1st/printStar?cafeno=6 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:56 +0900] "GET /std_1st/printStar?cafeno=23 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:56 +0900] "GET /std_1st/printStar?cafeno=27 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:56 +0900] "GET /std_1st/printStar?cafeno=42 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:56 +0900] "GET /std_1st/printStar?cafeno=43 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:56 +0900] "GET /std_1st/printStar?cafeno=1 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:56 +0900] "GET /std_1st/printStar?cafeno=2 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:56 +0900] "GET /std_1st/printStar?cafeno=3 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:56 +0900] "GET /std_1st/printStar?cafeno=7 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:56 +0900] "GET /std_1st/printStar?cafeno=4 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:58 +0900] "GET /std_1st/gradeSort?sido=&gugun=&keyword=&start=1&end=5 HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:58 +0900] "GET /std_1st/gradeSort?sido=&gugun=&keyword=&start=6&end=10 HTTP/1.1" 200 2675
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:58 +0900] "GET /std_1st/printStar?cafeno=7 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [04/Dec/2019:20:38:58 +0900] "GET /std_1st/printStar?cafeno=1 HTTP/1.1" 200 39
