127.0.0.1 - - [20/Nov/2019:14:29:58 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/cafeListAll?sido=&gugun=&keyword=&start=21&end=25 HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/cafe_img/1574222391536review_image_k0001.jpg HTTP/1.1" 404 184
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/printStar?cafeno=47 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/cafe_img/cafe_img45.jpg HTTP/1.1" 404 163
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/printStar?cafeno=45 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/printStar?cafeno=41 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/printStar?cafeno=42 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/cafe_img/cafe_img43.jpg HTTP/1.1" 404 163
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/printStar?cafeno=43 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/cafe_img/cafe_img41.jpg HTTP/1.1" 404 163
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/printStar?cafeno=44 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/cafe_img/cafe_img42.jpg HTTP/1.1" 404 163
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/printStar?cafeno=13 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/cafe_img/cafe_img44.jpg HTTP/1.1" 404 163
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/cafe_img/cafe_img27.jpg HTTP/1.1" 404 163
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/cafe_img/1574212815515cafe_img22.jpg HTTP/1.1" 404 176
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/printStar?cafeno=46 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Nov/2019:14:30:51 +0900] "GET /std_1st/printStar?cafeno=14 HTTP/1.1" 200 23
